============ Train epoch 1 ============
 client 2| Loss: 0.3405 | Test  Acc: 0.7294
 client 3| Loss: 0.3472 | Test  Acc: 0.7255
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 22 ============
 client 0| Loss: 0.3484 | Test  Acc: 0.7253
 client 1| Loss: 0.7330 | Test  Acc: 0.5089
 client 2| Loss: 0.3481 | Test  Acc: 0.7295
 client 3| Loss: 0.3415 | Test  Acc: 0.7381
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 23 ============
 client 0| Loss: 0.3426 | Test  Acc: 0.7326
 client 1| Loss: 0.7313 | Test  Acc: 0.5295
 client 2| Loss: 0.3421 | Test  Acc: 0.7332
 client 3| Loss: 0.3444 | Test  Acc: 0.7278
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 24 ============
 client 0| Loss: 0.3501 | Test  Acc: 0.7275
 client 1| Loss: 0.7187 | Test  Acc: 0.5348
 client 2| Loss: 0.3501 | Test  Acc: 0.7233
 client 3| Loss: 0.3448 | Test  Acc: 0.7266
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 25 ============
 client 0| Loss: 0.3503 | Test  Acc: 0.7247
 client 1| Loss: 0.7242 | Test  Acc: 0.5026
 client 2| Loss: 0.3465 | Test  Acc: 0.7234
 client 3| Loss: 0.3523 | Test  Acc: 0.7230
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 26 ============
 client 0| Loss: 0.3509 | Test  Acc: 0.7252
 client 1| Loss: 0.7116 | Test  Acc: 0.5447
 client 2| Loss: 0.3524 | Test  Acc: 0.7193
 client 3| Loss: 0.3511 | Test  Acc: 0.7323
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 27 ============
 client 0| Loss: 0.3533 | Test  Acc: 0.7227
 client 1| Loss: 0.7137 | Test  Acc: 0.5109
 client 2| Loss: 0.3474 | Test  Acc: 0.7079
 client 3| Loss: 0.3575 | Test  Acc: 0.7196
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 28 ============
 client 0| Loss: 0.3566 | Test  Acc: 0.7217
 client 1| Loss: 0.6986 | Test  Acc: 0.5349
 client 2| Loss: 0.3598 | Test  Acc: 0.7280
 client 3| Loss: 0.3559 | Test  Acc: 0.7184
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 29 ============
 client 0| Loss: 0.3591 | Test  Acc: 0.7218
 client 1| Loss: 0.6994 | Test  Acc: 0.5098
 client 2| Loss: 0.3519 | Test  Acc: 0.7200
 client 3| Loss: 0.3587 | Test  Acc: 0.7229
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 30 ============
 client 0| Loss: 0.3558 | Test  Acc: 0.7264
 client 1| Loss: 0.6956 | Test  Acc: 0.5501
 client 2| Loss: 0.3653 | Test  Acc: 0.7252
 client 3| Loss: 0.3588 | Test  Acc: 0.7174
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 31 ============
 client 0| Loss: 0.3604 | Test  Acc: 0.7216
 client 1| Loss: 0.6992 | Test  Acc: 0.5292
 client 2| Loss: 0.3610 | Test  Acc: 0.7231
 client 3| Loss: 0.3592 | Test  Acc: 0.7223
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 32 ============
 client 0| Loss: 0.3605 | Test  Acc: 0.7174
 client 1| Loss: 0.6867 | Test  Acc: 0.5322
 client 2| Loss: 0.3645 | Test  Acc: 0.7174
 client 3| Loss: 0.3651 | Test  Acc: 0.7208
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 33 ============
 client 0| Loss: 0.3611 | Test  Acc: 0.7187
 client 1| Loss: 0.6956 | Test  Acc: 0.5427
 client 2| Loss: 0.3666 | Test  Acc: 0.7207
 client 3| Loss: 0.3610 | Test  Acc: 0.7213
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 34 ============
 client 0| Loss: 0.3624 | Test  Acc: 0.7285
 client 1| Loss: 0.6852 | Test  Acc: 0.5256
 client 2| Loss: 0.3654 | Test  Acc: 0.7214
 client 3| Loss: 0.3694 | Test  Acc: 0.7110
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 35 ============
 client 0| Loss: 0.3693 | Test  Acc: 0.7130
 client 1| Loss: 0.7066 | Test  Acc: 0.5497
 client 2| Loss: 0.3620 | Test  Acc: 0.7210
 client 3| Loss: 0.3642 | Test  Acc: 0.7182
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 36 ============
 client 0| Loss: 0.3683 | Test  Acc: 0.7208
 client 1| Loss: 0.6845 | Test  Acc: 0.5468
 client 2| Loss: 0.3612 | Test  Acc: 0.7126
 client 3| Loss: 0.3698 | Test  Acc: 0.7157
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 37 ============
 client 0| Loss: 0.3716 | Test  Acc: 0.7143
 client 1| Loss: 0.6935 | Test  Acc: 0.5236
 client 2| Loss: 0.3608 | Test  Acc: 0.7203
 client 3| Loss: 0.3662 | Test  Acc: 0.7150
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 38 ============
 client 0| Loss: 0.3725 | Test  Acc: 0.7149
 client 1| Loss: 0.6916 | Test  Acc: 0.5235
 client 2| Loss: 0.3657 | Test  Acc: 0.7134
 client 3| Loss: 0.3657 | Test  Acc: 0.7095
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 39 ============
 client 0| Loss: 0.3678 | Test  Acc: 0.7103
 client 1| Loss: 0.6970 | Test  Acc: 0.5385
 client 2| Loss: 0.3543 | Test  Acc: 0.7120
 client 3| Loss: 0.3717 | Test  Acc: 0.7085
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 40 ============
 client 0| Loss: 0.3743 | Test  Acc: 0.7124
 client 1| Loss: 0.6838 | Test  Acc: 0.5467
 client 2| Loss: 0.3640 | Test  Acc: 0.7131
 client 3| Loss: 0.3685 | Test  Acc: 0.7110
 server  | Loss: 0.3533 | Test  Acc: 0.7454============ Train epoch 41 ============
 client 0| Loss: 0.3734 | Test  Acc: 0.7120
