============ Train epoch 1 ============
 client 2| Loss: 0.2456 | Test  Acc: 0.9919
 client 3| Loss: 0.2518 | Test  Acc: 0.9913
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 22 ============
 client 0| Loss: 0.2423 | Test  Acc: 0.9915
 client 1| Loss: 0.2249 | Test  Acc: 0.1783
 client 2| Loss: 0.2419 | Test  Acc: 0.9921
 client 3| Loss: 0.2414 | Test  Acc: 0.9912
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 23 ============
 client 0| Loss: 0.2424 | Test  Acc: 0.9923
 client 1| Loss: 0.2233 | Test  Acc: 0.1841
 client 2| Loss: 0.2352 | Test  Acc: 0.9922
 client 3| Loss: 0.2417 | Test  Acc: 0.9917
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 24 ============
 client 0| Loss: 0.2416 | Test  Acc: 0.9917
 client 1| Loss: 0.2260 | Test  Acc: 0.1018
 client 2| Loss: 0.2393 | Test  Acc: 0.9913
 client 3| Loss: 0.2377 | Test  Acc: 0.9911
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 25 ============
 client 0| Loss: 0.2407 | Test  Acc: 0.9917
 client 1| Loss: 0.2134 | Test  Acc: 0.1585
 client 2| Loss: 0.2362 | Test  Acc: 0.9916
 client 3| Loss: 0.2443 | Test  Acc: 0.9916
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 26 ============
 client 0| Loss: 0.2381 | Test  Acc: 0.9911
 client 1| Loss: 0.2216 | Test  Acc: 0.0957
 client 2| Loss: 0.2308 | Test  Acc: 0.9919
 client 3| Loss: 0.2296 | Test  Acc: 0.9913
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 27 ============
 client 0| Loss: 0.2386 | Test  Acc: 0.9921
 client 1| Loss: 0.2194 | Test  Acc: 0.0958
 client 2| Loss: 0.2393 | Test  Acc: 0.9905
 client 3| Loss: 0.2453 | Test  Acc: 0.9917
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 28 ============
 client 0| Loss: 0.2394 | Test  Acc: 0.9913
 client 1| Loss: 0.2285 | Test  Acc: 0.0957
 client 2| Loss: 0.2335 | Test  Acc: 0.9912
 client 3| Loss: 0.2305 | Test  Acc: 0.9913
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 29 ============
 client 0| Loss: 0.2336 | Test  Acc: 0.9890
 client 1| Loss: 0.2179 | Test  Acc: 0.0989
 client 2| Loss: 0.2372 | Test  Acc: 0.9917
 client 3| Loss: 0.2417 | Test  Acc: 0.9911
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 30 ============
 client 0| Loss: 0.2345 | Test  Acc: 0.9911
 client 1| Loss: 0.2201 | Test  Acc: 0.0960
 client 2| Loss: 0.2309 | Test  Acc: 0.9912
 client 3| Loss: 0.2309 | Test  Acc: 0.9915
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 31 ============
 client 0| Loss: 0.2314 | Test  Acc: 0.9914
 client 1| Loss: 0.2099 | Test  Acc: 0.0958
 client 2| Loss: 0.2258 | Test  Acc: 0.9906
 client 3| Loss: 0.2328 | Test  Acc: 0.9911
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 32 ============
 client 0| Loss: 0.2335 | Test  Acc: 0.9916
 client 1| Loss: 0.2382 | Test  Acc: 0.0958
 client 2| Loss: 0.2338 | Test  Acc: 0.9909
 client 3| Loss: 0.2337 | Test  Acc: 0.9921
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 33 ============
 client 0| Loss: 0.2394 | Test  Acc: 0.9921
 client 1| Loss: 0.2389 | Test  Acc: 0.1444
 client 2| Loss: 0.2422 | Test  Acc: 0.9902
 client 3| Loss: 0.2399 | Test  Acc: 0.9911
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 34 ============
 client 0| Loss: 0.2334 | Test  Acc: 0.9915
 client 1| Loss: 0.2453 | Test  Acc: 0.0960
 client 2| Loss: 0.2422 | Test  Acc: 0.9919
 client 3| Loss: 0.2437 | Test  Acc: 0.9917
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 35 ============
 client 0| Loss: 0.2357 | Test  Acc: 0.9917
 client 1| Loss: 0.2255 | Test  Acc: 0.0956
 client 2| Loss: 0.2349 | Test  Acc: 0.9912
 client 3| Loss: 0.2348 | Test  Acc: 0.9918
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 36 ============
 client 0| Loss: 0.2253 | Test  Acc: 0.9915
 client 1| Loss: 0.2048 | Test  Acc: 0.0978
 client 2| Loss: 0.2263 | Test  Acc: 0.9917
 client 3| Loss: 0.2302 | Test  Acc: 0.9918
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 37 ============
 client 0| Loss: 0.2328 | Test  Acc: 0.9914
 client 1| Loss: 0.2367 | Test  Acc: 0.0956
 client 2| Loss: 0.2253 | Test  Acc: 0.9919
 client 3| Loss: 0.2276 | Test  Acc: 0.9910
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 38 ============
 client 0| Loss: 0.2249 | Test  Acc: 0.9913
 client 1| Loss: 0.2247 | Test  Acc: 0.0958
 client 2| Loss: 0.2295 | Test  Acc: 0.9921
 client 3| Loss: 0.2308 | Test  Acc: 0.9914
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 39 ============
 client 0| Loss: 0.2256 | Test  Acc: 0.9918
 client 1| Loss: 0.2482 | Test  Acc: 0.0957
 client 2| Loss: 0.2236 | Test  Acc: 0.9917
 client 3| Loss: 0.2285 | Test  Acc: 0.9899
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 40 ============
 client 0| Loss: 0.2504 | Test  Acc: 0.9918
 client 1| Loss: 0.2138 | Test  Acc: 0.0956
 client 2| Loss: 0.2540 | Test  Acc: 0.9921
 client 3| Loss: 0.2585 | Test  Acc: 0.9919
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 41 ============
 client 0| Loss: 0.2187 | Test  Acc: 0.9910
 client 1| Loss: 0.2768 | Test  Acc: 0.0961
 client 2| Loss: 0.2242 | Test  Acc: 0.9916
 client 3| Loss: 0.2238 | Test  Acc: 0.9905
 server  | Loss: 0.2771 | Test  Acc: 0.9923============ Train epoch 42 ============
 client 0| Loss: 0.2555 | Test  Acc: 0.9908
 client 1| Loss: 0.2166 | Test  Acc: 0.1286
