============ Train epoch 1 ============
 client 2| Loss: 0.3708 | Test  Acc: 0.7442
 client 3| Loss: 0.3668 | Test  Acc: 0.7463
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 22 ============
 client 0| Loss: 0.3676 | Test  Acc: 0.7478
 client 1| Loss: 0.3852 | Test  Acc: 0.6486
 client 2| Loss: 0.3610 | Test  Acc: 0.7357
 client 3| Loss: 0.3580 | Test  Acc: 0.7435
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 23 ============
 client 0| Loss: 0.3671 | Test  Acc: 0.7479
 client 1| Loss: 0.3785 | Test  Acc: 0.6068
 client 2| Loss: 0.3742 | Test  Acc: 0.7422
 client 3| Loss: 0.3708 | Test  Acc: 0.7435
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 24 ============
 client 0| Loss: 0.3709 | Test  Acc: 0.7463
 client 1| Loss: 0.3948 | Test  Acc: 0.6197
 client 2| Loss: 0.3642 | Test  Acc: 0.7408
 client 3| Loss: 0.3547 | Test  Acc: 0.7472
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 25 ============
 client 0| Loss: 0.3649 | Test  Acc: 0.7427
 client 1| Loss: 0.3916 | Test  Acc: 0.6082
 client 2| Loss: 0.3726 | Test  Acc: 0.7442
 client 3| Loss: 0.3742 | Test  Acc: 0.7388
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 26 ============
 client 0| Loss: 0.3770 | Test  Acc: 0.7402
 client 1| Loss: 0.4061 | Test  Acc: 0.6355
 client 2| Loss: 0.3709 | Test  Acc: 0.7325
 client 3| Loss: 0.3570 | Test  Acc: 0.7416
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 27 ============
 client 0| Loss: 0.3706 | Test  Acc: 0.7335
 client 1| Loss: 0.3990 | Test  Acc: 0.6241
 client 2| Loss: 0.3705 | Test  Acc: 0.7421
 client 3| Loss: 0.3805 | Test  Acc: 0.7349
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 28 ============
 client 0| Loss: 0.3775 | Test  Acc: 0.7421
 client 1| Loss: 0.4114 | Test  Acc: 0.6335
 client 2| Loss: 0.3807 | Test  Acc: 0.7401
 client 3| Loss: 0.3695 | Test  Acc: 0.7401
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 29 ============
 client 0| Loss: 0.3685 | Test  Acc: 0.7401
 client 1| Loss: 0.4060 | Test  Acc: 0.6095
 client 2| Loss: 0.3759 | Test  Acc: 0.7331
 client 3| Loss: 0.3750 | Test  Acc: 0.7407
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 30 ============
 client 0| Loss: 0.3796 | Test  Acc: 0.7372
 client 1| Loss: 0.4073 | Test  Acc: 0.6114
 client 2| Loss: 0.3765 | Test  Acc: 0.7214
 client 3| Loss: 0.3707 | Test  Acc: 0.7380
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 31 ============
 client 0| Loss: 0.3645 | Test  Acc: 0.7396
 client 1| Loss: 0.4072 | Test  Acc: 0.6308
 client 2| Loss: 0.3855 | Test  Acc: 0.7395
 client 3| Loss: 0.3789 | Test  Acc: 0.7407
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 32 ============
 client 0| Loss: 0.3837 | Test  Acc: 0.7277
 client 1| Loss: 0.4122 | Test  Acc: 0.6174
 client 2| Loss: 0.3723 | Test  Acc: 0.7420
 client 3| Loss: 0.3680 | Test  Acc: 0.7284
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 33 ============
 client 0| Loss: 0.3687 | Test  Acc: 0.7356
 client 1| Loss: 0.4082 | Test  Acc: 0.6190
 client 2| Loss: 0.3800 | Test  Acc: 0.7391
 client 3| Loss: 0.3819 | Test  Acc: 0.7362
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 34 ============
 client 0| Loss: 0.3873 | Test  Acc: 0.7336
 client 1| Loss: 0.4152 | Test  Acc: 0.6306
 client 2| Loss: 0.3751 | Test  Acc: 0.7368
 client 3| Loss: 0.3717 | Test  Acc: 0.7322
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 35 ============
 client 0| Loss: 0.3699 | Test  Acc: 0.7357
 client 1| Loss: 0.4012 | Test  Acc: 0.6309
 client 2| Loss: 0.3819 | Test  Acc: 0.7350
 client 3| Loss: 0.3871 | Test  Acc: 0.7403
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 36 ============
 client 0| Loss: 0.3908 | Test  Acc: 0.7337
 client 1| Loss: 0.4112 | Test  Acc: 0.6231
 client 2| Loss: 0.3766 | Test  Acc: 0.7379
 client 3| Loss: 0.3775 | Test  Acc: 0.7331
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 37 ============
 client 0| Loss: 0.3625 | Test  Acc: 0.7379
 client 1| Loss: 0.4162 | Test  Acc: 0.6148
 client 2| Loss: 0.3813 | Test  Acc: 0.7294
 client 3| Loss: 0.3873 | Test  Acc: 0.7369
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 38 ============
 client 0| Loss: 0.3905 | Test  Acc: 0.7289
 client 1| Loss: 0.4058 | Test  Acc: 0.6147
 client 2| Loss: 0.3776 | Test  Acc: 0.7394
 client 3| Loss: 0.3722 | Test  Acc: 0.7341
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 39 ============
 client 0| Loss: 0.3629 | Test  Acc: 0.7318
 client 1| Loss: 0.4105 | Test  Acc: 0.6448
 client 2| Loss: 0.3787 | Test  Acc: 0.7316
 client 3| Loss: 0.3843 | Test  Acc: 0.7350
 server  | Loss: 0.3639 | Test  Acc: 0.7492============ Train epoch 40 ============
 client 0| Loss: 0.3827 | Test  Acc: 0.7330
 client 1| Loss: 0.4048 | Test  Acc: 0.6119
