============ Train epoch 1 ============
 client 2| Loss: 0.3350 | Test  Acc: 0.7049
 client 3| Loss: 0.2989 | Test  Acc: 0.8866
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 22 ============
 client 0| Loss: 0.3600 | Test  Acc: 0.9786
 client 1| Loss: 0.3268 | Test  Acc: 0.9826
 client 2| Loss: 0.3630 | Test  Acc: 0.7279
 client 3| Loss: 0.3168 | Test  Acc: 0.8911
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 23 ============
 client 0| Loss: 0.3799 | Test  Acc: 0.9768
 client 1| Loss: 0.3558 | Test  Acc: 0.9807
 client 2| Loss: 0.3433 | Test  Acc: 0.7089
 client 3| Loss: 0.3046 | Test  Acc: 0.8866
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 24 ============
 client 0| Loss: 0.3619 | Test  Acc: 0.9793
 client 1| Loss: 0.3235 | Test  Acc: 0.9778
 client 2| Loss: 0.3590 | Test  Acc: 0.7267
 client 3| Loss: 0.3174 | Test  Acc: 0.8980
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 25 ============
 client 0| Loss: 0.3710 | Test  Acc: 0.9799
 client 1| Loss: 0.3444 | Test  Acc: 0.9788
 client 2| Loss: 0.3588 | Test  Acc: 0.7088
 client 3| Loss: 0.2980 | Test  Acc: 0.8904
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 26 ============
 client 0| Loss: 0.3538 | Test  Acc: 0.9809
 client 1| Loss: 0.3205 | Test  Acc: 0.9687
 client 2| Loss: 0.3648 | Test  Acc: 0.7265
 client 3| Loss: 0.3209 | Test  Acc: 0.9005
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 27 ============
 client 0| Loss: 0.3655 | Test  Acc: 0.9825
 client 1| Loss: 0.3468 | Test  Acc: 0.9826
 client 2| Loss: 0.3598 | Test  Acc: 0.7314
 client 3| Loss: 0.3018 | Test  Acc: 0.8915
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 28 ============
 client 0| Loss: 0.3601 | Test  Acc: 0.9795
 client 1| Loss: 0.3357 | Test  Acc: 0.9795
 client 2| Loss: 0.3647 | Test  Acc: 0.7217
 client 3| Loss: 0.3158 | Test  Acc: 0.8977
 server  | Loss: 0.3281 | Test  Acc: 0.9840============ Train epoch 29 ============
 client 0| Loss: 0.3662 | Test  Acc: 0.9845
 client 1| Loss: 0.3518 | Test  Acc: 0.9783
 client 2| Loss: 0.3587 | Test  Acc: 0.7419
 client 3| Loss: 0.3022 | Test  Acc: 0.9028
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 30 ============
 client 0| Loss: 0.3645 | Test  Acc: 0.9789
 client 1| Loss: 0.3218 | Test  Acc: 0.9768
 client 2| Loss: 0.3612 | Test  Acc: 0.7087
 client 3| Loss: 0.3230 | Test  Acc: 0.9052
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 31 ============
 client 0| Loss: 0.3792 | Test  Acc: 0.9839
 client 1| Loss: 0.3627 | Test  Acc: 0.9808
 client 2| Loss: 0.3615 | Test  Acc: 0.7391
 client 3| Loss: 0.3023 | Test  Acc: 0.9041
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 32 ============
 client 0| Loss: 0.3702 | Test  Acc: 0.9799
 client 1| Loss: 0.3149 | Test  Acc: 0.9824
 client 2| Loss: 0.3730 | Test  Acc: 0.7090
 client 3| Loss: 0.3364 | Test  Acc: 0.8991
