============ Train epoch 1 ============
 client 2| Loss: 0.3558 | Test  Acc: 0.9908
 client 3| Loss: 0.3584 | Test  Acc: 0.9899
 server  | Loss: 0.3365 | Test  Acc: 0.9912============ Train epoch 22 ============
 client 0| Loss: 0.3647 | Test  Acc: 0.9903
 client 1| Loss: 0.3652 | Test  Acc: 0.9899
 client 2| Loss: 0.3651 | Test  Acc: 0.9898
 client 3| Loss: 0.3449 | Test  Acc: 0.9904
 server  | Loss: 0.3365 | Test  Acc: 0.9912============ Train epoch 23 ============
 client 0| Loss: 0.3611 | Test  Acc: 0.9902
 client 1| Loss: 0.3541 | Test  Acc: 0.9834
 client 2| Loss: 0.3623 | Test  Acc: 0.9899
 client 3| Loss: 0.3588 | Test  Acc: 0.9905
 server  | Loss: 0.3365 | Test  Acc: 0.9912============ Train epoch 24 ============
 client 0| Loss: 0.3772 | Test  Acc: 0.9914
 client 1| Loss: 0.3691 | Test  Acc: 0.9901
 client 2| Loss: 0.3653 | Test  Acc: 0.9886
 client 3| Loss: 0.3492 | Test  Acc: 0.9906
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 25 ============
 client 0| Loss: 0.3650 | Test  Acc: 0.9902
 client 1| Loss: 0.3665 | Test  Acc: 0.9887
 client 2| Loss: 0.3671 | Test  Acc: 0.9901
 client 3| Loss: 0.3571 | Test  Acc: 0.9901
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 26 ============
 client 0| Loss: 0.3702 | Test  Acc: 0.9908
 client 1| Loss: 0.3699 | Test  Acc: 0.9878
 client 2| Loss: 0.3503 | Test  Acc: 0.9896
 client 3| Loss: 0.3538 | Test  Acc: 0.9903
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 27 ============
 client 0| Loss: 0.3546 | Test  Acc: 0.9903
 client 1| Loss: 0.3555 | Test  Acc: 0.9883
 client 2| Loss: 0.3622 | Test  Acc: 0.9901
 client 3| Loss: 0.3465 | Test  Acc: 0.9908
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 28 ============
 client 0| Loss: 0.3600 | Test  Acc: 0.9888
 client 1| Loss: 0.3544 | Test  Acc: 0.9883
 client 2| Loss: 0.3462 | Test  Acc: 0.9904
 client 3| Loss: 0.3526 | Test  Acc: 0.9892
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 29 ============
 client 0| Loss: 0.3392 | Test  Acc: 0.9914
 client 1| Loss: 0.3518 | Test  Acc: 0.9885
 client 2| Loss: 0.3587 | Test  Acc: 0.9889
 client 3| Loss: 0.3488 | Test  Acc: 0.9905
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 30 ============
 client 0| Loss: 0.3516 | Test  Acc: 0.9902
 client 1| Loss: 0.3531 | Test  Acc: 0.9885
 client 2| Loss: 0.3463 | Test  Acc: 0.9896
 client 3| Loss: 0.3506 | Test  Acc: 0.9911
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 31 ============
 client 0| Loss: 0.3487 | Test  Acc: 0.9905
 client 1| Loss: 0.3449 | Test  Acc: 0.9901
 client 2| Loss: 0.3668 | Test  Acc: 0.9893
 client 3| Loss: 0.3403 | Test  Acc: 0.9895
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 32 ============
 client 0| Loss: 0.3440 | Test  Acc: 0.9908
 client 1| Loss: 0.3583 | Test  Acc: 0.9892
 client 2| Loss: 0.3390 | Test  Acc: 0.9903
 client 3| Loss: 0.3531 | Test  Acc: 0.9900
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 33 ============
 client 0| Loss: 0.3470 | Test  Acc: 0.9900
 client 1| Loss: 0.3521 | Test  Acc: 0.9885
 client 2| Loss: 0.3588 | Test  Acc: 0.9897
 client 3| Loss: 0.3417 | Test  Acc: 0.9896
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 34 ============
 client 0| Loss: 0.3434 | Test  Acc: 0.9909
 client 1| Loss: 0.3520 | Test  Acc: 0.9896
 client 2| Loss: 0.3386 | Test  Acc: 0.9901
 client 3| Loss: 0.3576 | Test  Acc: 0.9902
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 35 ============
 client 0| Loss: 0.3500 | Test  Acc: 0.9907
 client 1| Loss: 0.3469 | Test  Acc: 0.9893
 client 2| Loss: 0.3551 | Test  Acc: 0.9896
 client 3| Loss: 0.3415 | Test  Acc: 0.9896
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 36 ============
 client 0| Loss: 0.3444 | Test  Acc: 0.9911
 client 1| Loss: 0.3584 | Test  Acc: 0.9886
 client 2| Loss: 0.3424 | Test  Acc: 0.9892
 client 3| Loss: 0.3515 | Test  Acc: 0.9890
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 37 ============
 client 0| Loss: 0.3571 | Test  Acc: 0.9914
 client 1| Loss: 0.3501 | Test  Acc: 0.9899
 client 2| Loss: 0.3519 | Test  Acc: 0.9912
 client 3| Loss: 0.3433 | Test  Acc: 0.9900
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 38 ============
 client 0| Loss: 0.3463 | Test  Acc: 0.9903
 client 1| Loss: 0.3666 | Test  Acc: 0.9904
 client 2| Loss: 0.3409 | Test  Acc: 0.9894
 client 3| Loss: 0.3495 | Test  Acc: 0.9898
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 39 ============
 client 0| Loss: 0.3603 | Test  Acc: 0.9905
 client 1| Loss: 0.3411 | Test  Acc: 0.9892
 client 2| Loss: 0.3483 | Test  Acc: 0.9896
 client 3| Loss: 0.3512 | Test  Acc: 0.9901
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 40 ============
 client 0| Loss: 0.3517 | Test  Acc: 0.9906
 client 1| Loss: 0.3605 | Test  Acc: 0.9891
 client 2| Loss: 0.3505 | Test  Acc: 0.9901
 client 3| Loss: 0.3520 | Test  Acc: 0.9903
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 41 ============
 client 0| Loss: 0.3530 | Test  Acc: 0.9909
 client 1| Loss: 0.3455 | Test  Acc: 0.9901
 client 2| Loss: 0.3524 | Test  Acc: 0.9895
 client 3| Loss: 0.3511 | Test  Acc: 0.9903
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 42 ============
 client 0| Loss: 0.3452 | Test  Acc: 0.9879
 client 1| Loss: 0.3595 | Test  Acc: 0.9898
 client 2| Loss: 0.3418 | Test  Acc: 0.9892
 client 3| Loss: 0.3497 | Test  Acc: 0.9902
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 43 ============
 client 0| Loss: 0.3547 | Test  Acc: 0.9909
 client 1| Loss: 0.3497 | Test  Acc: 0.9887
 client 2| Loss: 0.3529 | Test  Acc: 0.9901
 client 3| Loss: 0.3549 | Test  Acc: 0.9869
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 44 ============
 client 0| Loss: 0.3496 | Test  Acc: 0.9853
 client 1| Loss: 0.3636 | Test  Acc: 0.9895
 client 2| Loss: 0.3498 | Test  Acc: 0.9909
 client 3| Loss: 0.3468 | Test  Acc: 0.9896
 server  | Loss: 0.3772 | Test  Acc: 0.9914============ Train epoch 45 ============
 client 0| Loss: 0.3589 | Test  Acc: 0.9907
