============ Train epoch 1 ============
 client 2| Loss: 0.3133 | Test  Acc: 0.9304
 client 3| Loss: 0.3173 | Test  Acc: 0.9322
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 22 ============
 client 0| Loss: 0.3159 | Test  Acc: 0.9234
 client 1| Loss: 0.3522 | Test  Acc: 0.9050
 client 2| Loss: 0.3140 | Test  Acc: 0.9276
 client 3| Loss: 0.3066 | Test  Acc: 0.9300
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 23 ============
 client 0| Loss: 0.3116 | Test  Acc: 0.9276
 client 1| Loss: 0.3562 | Test  Acc: 0.8888
 client 2| Loss: 0.3139 | Test  Acc: 0.9294
 client 3| Loss: 0.3179 | Test  Acc: 0.9304
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 24 ============
 client 0| Loss: 0.3193 | Test  Acc: 0.9244
 client 1| Loss: 0.3569 | Test  Acc: 0.8902
 client 2| Loss: 0.3169 | Test  Acc: 0.9267
 client 3| Loss: 0.3071 | Test  Acc: 0.9284
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 25 ============
 client 0| Loss: 0.3152 | Test  Acc: 0.9297
 client 1| Loss: 0.3517 | Test  Acc: 0.8800
 client 2| Loss: 0.3158 | Test  Acc: 0.9271
 client 3| Loss: 0.3208 | Test  Acc: 0.9296
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 26 ============
 client 0| Loss: 0.3155 | Test  Acc: 0.9271
 client 1| Loss: 0.3623 | Test  Acc: 0.9053
 client 2| Loss: 0.3185 | Test  Acc: 0.9248
 client 3| Loss: 0.3082 | Test  Acc: 0.9304
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 27 ============
 client 0| Loss: 0.3182 | Test  Acc: 0.9251
 client 1| Loss: 0.3556 | Test  Acc: 0.8964
 client 2| Loss: 0.3156 | Test  Acc: 0.9271
 client 3| Loss: 0.3206 | Test  Acc: 0.9269
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 28 ============
 client 0| Loss: 0.3159 | Test  Acc: 0.9273
 client 1| Loss: 0.3663 | Test  Acc: 0.8876
 client 2| Loss: 0.3193 | Test  Acc: 0.9262
 client 3| Loss: 0.3123 | Test  Acc: 0.9284
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 29 ============
 client 0| Loss: 0.3194 | Test  Acc: 0.9272
 client 1| Loss: 0.3550 | Test  Acc: 0.8996
 client 2| Loss: 0.3196 | Test  Acc: 0.9277
 client 3| Loss: 0.3255 | Test  Acc: 0.9253
 server  | Loss: 0.3105 | Test  Acc: 0.9338============ Train epoch 30 ============
