============ Train epoch 1 ============
 client 2| Loss: 0.3517 | Test  Acc: 0.9336
 client 3| Loss: 0.3564 | Test  Acc: 0.9322
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 22 ============
 client 0| Loss: 0.3560 | Test  Acc: 0.9316
 client 1| Loss: 0.3559 | Test  Acc: 0.9332
 client 2| Loss: 0.3551 | Test  Acc: 0.9317
 client 3| Loss: 0.3553 | Test  Acc: 0.9307
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 23 ============
 client 0| Loss: 0.3551 | Test  Acc: 0.9330
 client 1| Loss: 0.3525 | Test  Acc: 0.9325
 client 2| Loss: 0.3559 | Test  Acc: 0.9310
 client 3| Loss: 0.3610 | Test  Acc: 0.9323
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 24 ============
 client 0| Loss: 0.3604 | Test  Acc: 0.9301
 client 1| Loss: 0.3608 | Test  Acc: 0.9291
 client 2| Loss: 0.3563 | Test  Acc: 0.9313
 client 3| Loss: 0.3676 | Test  Acc: 0.9290
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 25 ============
 client 0| Loss: 0.3561 | Test  Acc: 0.9299
 client 1| Loss: 0.3549 | Test  Acc: 0.9282
 client 2| Loss: 0.3545 | Test  Acc: 0.9301
 client 3| Loss: 0.3584 | Test  Acc: 0.9303
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 26 ============
 client 0| Loss: 0.3586 | Test  Acc: 0.9301
 client 1| Loss: 0.3551 | Test  Acc: 0.9312
 client 2| Loss: 0.3598 | Test  Acc: 0.9291
 client 3| Loss: 0.3645 | Test  Acc: 0.9287
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 27 ============
 client 0| Loss: 0.3537 | Test  Acc: 0.9264
 client 1| Loss: 0.3574 | Test  Acc: 0.9287
 client 2| Loss: 0.3573 | Test  Acc: 0.9274
 client 3| Loss: 0.3556 | Test  Acc: 0.9286
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 28 ============
 client 0| Loss: 0.3585 | Test  Acc: 0.9274
 client 1| Loss: 0.3540 | Test  Acc: 0.9297
 client 2| Loss: 0.3560 | Test  Acc: 0.9273
 client 3| Loss: 0.3636 | Test  Acc: 0.9254
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 29 ============
 client 0| Loss: 0.3541 | Test  Acc: 0.9253
 client 1| Loss: 0.3549 | Test  Acc: 0.9264
 client 2| Loss: 0.3544 | Test  Acc: 0.9289
 client 3| Loss: 0.3519 | Test  Acc: 0.9268
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 30 ============
 client 0| Loss: 0.3549 | Test  Acc: 0.9257
 client 1| Loss: 0.3531 | Test  Acc: 0.9263
 client 2| Loss: 0.3523 | Test  Acc: 0.9251
 client 3| Loss: 0.3599 | Test  Acc: 0.9213
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 31 ============
 client 0| Loss: 0.3481 | Test  Acc: 0.9228
 client 1| Loss: 0.3532 | Test  Acc: 0.9229
 client 2| Loss: 0.3568 | Test  Acc: 0.9256
 client 3| Loss: 0.3517 | Test  Acc: 0.9259
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 32 ============
 client 0| Loss: 0.3567 | Test  Acc: 0.9249
 client 1| Loss: 0.3456 | Test  Acc: 0.9241
 client 2| Loss: 0.3518 | Test  Acc: 0.9232
 client 3| Loss: 0.3582 | Test  Acc: 0.9208
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 33 ============
 client 0| Loss: 0.3477 | Test  Acc: 0.9214
 client 1| Loss: 0.3539 | Test  Acc: 0.9229
 client 2| Loss: 0.3517 | Test  Acc: 0.9220
 client 3| Loss: 0.3538 | Test  Acc: 0.9206
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 34 ============
 client 0| Loss: 0.3561 | Test  Acc: 0.9200
 client 1| Loss: 0.3467 | Test  Acc: 0.9223
 client 2| Loss: 0.3499 | Test  Acc: 0.9238
 client 3| Loss: 0.3548 | Test  Acc: 0.9185
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 35 ============
 client 0| Loss: 0.3470 | Test  Acc: 0.9172
 client 1| Loss: 0.3573 | Test  Acc: 0.9205
 client 2| Loss: 0.3549 | Test  Acc: 0.9194
 client 3| Loss: 0.3504 | Test  Acc: 0.9172
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 36 ============
 client 0| Loss: 0.3565 | Test  Acc: 0.9203
 client 1| Loss: 0.3484 | Test  Acc: 0.9193
 client 2| Loss: 0.3519 | Test  Acc: 0.9196
 client 3| Loss: 0.3559 | Test  Acc: 0.9183
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 37 ============
 client 0| Loss: 0.3505 | Test  Acc: 0.9169
 client 1| Loss: 0.3544 | Test  Acc: 0.9171
 client 2| Loss: 0.3529 | Test  Acc: 0.9222
 client 3| Loss: 0.3509 | Test  Acc: 0.9182
 server  | Loss: 0.3325 | Test  Acc: 0.9385============ Train epoch 38 ============
 client 0| Loss: 0.3526 | Test  Acc: 0.9168
 client 1| Loss: 0.3442 | Test  Acc: 0.9158
 client 2| Loss: 0.3494 | Test  Acc: 0.9188
 client 3| Loss: 0.3496 | Test  Acc: 0.9145
