============ Train epoch 1 ============
 client 2| Loss: 0.3465 | Test  Acc: 0.9895
 client 3| Loss: 0.3444 | Test  Acc: 0.9894
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 22 ============
 client 0| Loss: 0.3474 | Test  Acc: 0.9906
 client 1| Loss: 0.3485 | Test  Acc: 0.9889
 client 2| Loss: 0.3342 | Test  Acc: 0.9890
 client 3| Loss: 0.3501 | Test  Acc: 0.9885
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 23 ============
 client 0| Loss: 0.3436 | Test  Acc: 0.9907
 client 1| Loss: 0.3391 | Test  Acc: 0.9903
 client 2| Loss: 0.3537 | Test  Acc: 0.9907
 client 3| Loss: 0.3488 | Test  Acc: 0.9903
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 24 ============
 client 0| Loss: 0.3504 | Test  Acc: 0.9895
 client 1| Loss: 0.3459 | Test  Acc: 0.9897
 client 2| Loss: 0.3345 | Test  Acc: 0.9896
 client 3| Loss: 0.3466 | Test  Acc: 0.9902
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 25 ============
 client 0| Loss: 0.3441 | Test  Acc: 0.9887
 client 1| Loss: 0.3434 | Test  Acc: 0.9901
 client 2| Loss: 0.3579 | Test  Acc: 0.9897
 client 3| Loss: 0.3508 | Test  Acc: 0.9885
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 26 ============
 client 0| Loss: 0.3544 | Test  Acc: 0.9895
 client 1| Loss: 0.3489 | Test  Acc: 0.9878
 client 2| Loss: 0.3430 | Test  Acc: 0.9884
 client 3| Loss: 0.3478 | Test  Acc: 0.9900
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 27 ============
 client 0| Loss: 0.3488 | Test  Acc: 0.9881
 client 1| Loss: 0.3455 | Test  Acc: 0.9887
 client 2| Loss: 0.3538 | Test  Acc: 0.9883
 client 3| Loss: 0.3514 | Test  Acc: 0.9884
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 28 ============
 client 0| Loss: 0.3519 | Test  Acc: 0.9897
 client 1| Loss: 0.3530 | Test  Acc: 0.9885
 client 2| Loss: 0.3438 | Test  Acc: 0.9886
 client 3| Loss: 0.3498 | Test  Acc: 0.9875
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 29 ============
 client 0| Loss: 0.3518 | Test  Acc: 0.9887
 client 1| Loss: 0.3480 | Test  Acc: 0.9886
 client 2| Loss: 0.3575 | Test  Acc: 0.9870
 client 3| Loss: 0.3528 | Test  Acc: 0.9885
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 30 ============
 client 0| Loss: 0.3567 | Test  Acc: 0.9879
 client 1| Loss: 0.3533 | Test  Acc: 0.9874
 client 2| Loss: 0.3430 | Test  Acc: 0.9890
 client 3| Loss: 0.3486 | Test  Acc: 0.9875
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 31 ============
 client 0| Loss: 0.3483 | Test  Acc: 0.9864
 client 1| Loss: 0.3479 | Test  Acc: 0.9883
 client 2| Loss: 0.3572 | Test  Acc: 0.9891
 client 3| Loss: 0.3558 | Test  Acc: 0.9880
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 32 ============
 client 0| Loss: 0.3582 | Test  Acc: 0.9890
 client 1| Loss: 0.3493 | Test  Acc: 0.9859
 client 2| Loss: 0.3494 | Test  Acc: 0.9869
 client 3| Loss: 0.3515 | Test  Acc: 0.9882
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 33 ============
 client 0| Loss: 0.3494 | Test  Acc: 0.9869
 client 1| Loss: 0.3514 | Test  Acc: 0.9871
 client 2| Loss: 0.3560 | Test  Acc: 0.9872
 client 3| Loss: 0.3542 | Test  Acc: 0.9856
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 34 ============
 client 0| Loss: 0.3627 | Test  Acc: 0.9865
 client 1| Loss: 0.3517 | Test  Acc: 0.9876
 client 2| Loss: 0.3492 | Test  Acc: 0.9879
 client 3| Loss: 0.3474 | Test  Acc: 0.9860
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 35 ============
 client 0| Loss: 0.3463 | Test  Acc: 0.9836
 client 1| Loss: 0.3506 | Test  Acc: 0.9868
 client 2| Loss: 0.3519 | Test  Acc: 0.9879
 client 3| Loss: 0.3568 | Test  Acc: 0.9865
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 36 ============
 client 0| Loss: 0.3573 | Test  Acc: 0.9867
 client 1| Loss: 0.3504 | Test  Acc: 0.9851
 client 2| Loss: 0.3500 | Test  Acc: 0.9864
 client 3| Loss: 0.3522 | Test  Acc: 0.9871
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 37 ============
 client 0| Loss: 0.3491 | Test  Acc: 0.9864
 client 1| Loss: 0.3485 | Test  Acc: 0.9876
 client 2| Loss: 0.3489 | Test  Acc: 0.9856
 client 3| Loss: 0.3551 | Test  Acc: 0.9860
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 38 ============
 client 0| Loss: 0.3493 | Test  Acc: 0.9873
 client 1| Loss: 0.3475 | Test  Acc: 0.9852
 client 2| Loss: 0.3465 | Test  Acc: 0.9850
 client 3| Loss: 0.3477 | Test  Acc: 0.9856
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 39 ============
 client 0| Loss: 0.3453 | Test  Acc: 0.9855
 client 1| Loss: 0.3466 | Test  Acc: 0.9877
 client 2| Loss: 0.3496 | Test  Acc: 0.9849
 client 3| Loss: 0.3500 | Test  Acc: 0.9851
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 40 ============
 client 0| Loss: 0.3515 | Test  Acc: 0.9874
 client 1| Loss: 0.3420 | Test  Acc: 0.9848
 client 2| Loss: 0.3503 | Test  Acc: 0.9853
 client 3| Loss: 0.3430 | Test  Acc: 0.9845
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 41 ============
 client 0| Loss: 0.3482 | Test  Acc: 0.9866
 client 1| Loss: 0.3476 | Test  Acc: 0.9849
 client 2| Loss: 0.3475 | Test  Acc: 0.9860
 client 3| Loss: 0.3490 | Test  Acc: 0.9833
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 42 ============
 client 0| Loss: 0.3473 | Test  Acc: 0.9869
 client 1| Loss: 0.3439 | Test  Acc: 0.9850
 client 2| Loss: 0.3484 | Test  Acc: 0.9832
 client 3| Loss: 0.3444 | Test  Acc: 0.9842
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 43 ============
 client 0| Loss: 0.3407 | Test  Acc: 0.9844
 client 1| Loss: 0.3439 | Test  Acc: 0.9863
 client 2| Loss: 0.3459 | Test  Acc: 0.9853
 client 3| Loss: 0.3504 | Test  Acc: 0.9841
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 44 ============
 client 0| Loss: 0.3428 | Test  Acc: 0.9864
 client 1| Loss: 0.3447 | Test  Acc: 0.9823
 client 2| Loss: 0.3510 | Test  Acc: 0.9848
 client 3| Loss: 0.3378 | Test  Acc: 0.9849
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 45 ============
 client 0| Loss: 0.3392 | Test  Acc: 0.9839
 client 1| Loss: 0.3413 | Test  Acc: 0.9847
 client 2| Loss: 0.3411 | Test  Acc: 0.9853
 client 3| Loss: 0.3493 | Test  Acc: 0.9841
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 46 ============
 client 0| Loss: 0.3430 | Test  Acc: 0.9852
 client 1| Loss: 0.3383 | Test  Acc: 0.9830
 client 2| Loss: 0.3519 | Test  Acc: 0.9837
 client 3| Loss: 0.3382 | Test  Acc: 0.9835
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 47 ============
 client 0| Loss: 0.3335 | Test  Acc: 0.9833
 client 1| Loss: 0.3501 | Test  Acc: 0.9856
 client 2| Loss: 0.3372 | Test  Acc: 0.9820
 client 3| Loss: 0.3395 | Test  Acc: 0.9830
 server  | Loss: 0.2992 | Test  Acc: 0.9922============ Train epoch 48 ============
 client 0| Loss: 0.3399 | Test  Acc: 0.9848
 client 1| Loss: 0.3408 | Test  Acc: 0.9831
